term,definition,stem,group_name,gender_name,example_sentence
pax,vrede,pac,3,V,V
casus,"val, toeval, ongeval",cas,4,V,V
civis,burger,civ,3,V,V
lux,"licht, leven, inzicht",luc,3,V,V
ordo,"rij, rang, orde",ordin,3,V,V
sol,zon,sol,2,V,V
iuvenis,jongeman,iuven,3,V,V
spatium,"ruimte, afstand, duur",spati,2,V,V
unda,golf,und,1,V,V
animal,"dier, levend wezen",anim,3,V,V
litus,"kust, strand",lit,3,V,V
patria,"vaderland, vaderstad",patri,1,V,V
aurum,goud,aur,2,V,V
servus,slaaf,serv,2,V,V
carmen,"spreuk, gedicht, lied",carmen,3,V,V
turba,wanorde; menigte,turb,1,V,V
victor,(over)winnaar,vict,3,V,V
cursus,"rennen, vaart, koers",curs,4,V,V
exemplum,voorbeeld,exempl,2,V,V
provincia,(bestuur over) provincie,provinci,1,V,V
sententia,"mening, plan, uitspraak",sentent,1,V,V
praesidium,"bescherming, troepen",praesidi,2,V,V
saxum,"rots(blok), gesteente",sax,2,V,V
verus,"correct, waar",ver,2,V,V
memoria,"herinnering, geheugen",memori,1,V,V
mundus,wereld,mund,2,V,V
salus,"redding, geluk, gezondheid",salut,3,V,V
auxilium,"hulp, bijstand (plur.) hulptroepen",auxili,2,V,V
ventus,wind,vent,4,V,V
species,"aanblik, uiterlijk",speci,5,V,V
auris,oor,aur,3,V,V
umbra,"schaduw, schim",umbr,1,V,V
caedes,"moord, bloedbad",caed,3,V,V
ceteri,"overigen, overige mensen",ceter,2,V,V
magnitudo,grootte,magnitud,3,V,V
dominus,"heer, baas",domin,2,V,V
regio,"gebied, streek, richting",regi,3,V,V
socius,"bondgenoot, makker",soci,2,V,V
votum,"gelofte, wens",vot,2,V,V
plebs,"burgerij, volk",pleb,3,V,V
orbis,"cirkel, schijf",orb,3,V,V
puella,meisje,puell,1,V,V
oppidum,stad,oppid,2,V,V
sermo,gesprek,serm,3,V,V
iugum,juk; bergrug,iug,2,V,V
lacrima,traan,lacrim,1,V,V
latus,"zijkant, flank",lat,3,V,V
officium,"taak, plicht",offici,2,V,V
murus,muur,mur,2,V,V
odium,haat,odi,2,V,V
forma,"vorm, schoonheid",form,1,V,V
auctor,"initiatiefnemer, stichter, schrijver",auct,3,V,V
amicitia,vriendschap,amicit,1,V,V
amnis,rivier(tje),amn,3,V,V
